objectid_1,objectid,crn,district,county,municipality,crash_year,crash_month,day_of_week,time_of_day,hour_of_day,illumination,weather,road_condition,collision_type,relation_to_road,work_zone_type,work_zone_loc,work_zone_ind,intersect_type,tcd_type,location_type,urban_rural,fatal_count,injury_count,person_count,total_units,sch_bus_ind,sch_zone_ind,latitude,longitude,arrival_tm,cons_zone_spd_lim,dispatch_tm,est_hrs_closed,lane_closed,ln_close_dir,ntfy_hiwy_maint,spec_juris_cd,tcd_func_cd,tfc_detour_ind,workers_pres,wz_close_detour,wz_flagger,wz_law_offcr_ind,wz_ln_closure,wz_moving,wz_other,wz_shlder_mdn,vehicle_count,automobile_count,motorcycle_count,bus_count,small_truck_count,heavy_truck_count,suv_count,van_count,bicycle_count,maj_inj_count,mod_inj_count,min_inj_count,tot_inj_count,unk_inj_deg_count,unk_inj_per_count,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,unbelted_occ_count,unb_death_count,unb_maj_inj_count,belted_death_count,belted_maj_inj_count,mcycle_death_count,mcycle_maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_count,ped_death_count,ped_maj_inj_count,max_severity_level,comm_veh_count,dec_lat,dec_long,rdwy_surf_type_cd,county_name
42036,485755,2014091466,6,67,67301,2014,9,4,1442,14,1,1,0,1,1, , ,N,0,0,0,3,0,1,3,3,N,N,40 00:20.438,75 06:03.475,1502, ,1500, ,0, ,N, ,0, , , , , , , , , ,3,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0057,-75.101, , 
42037,485757,2014095950,6,67,67301,2014,9,6,1430,14,1,1,0,6,1, , ,N,0,0,0,3,0,0,1,2,N,N,39 54:57.657,75 09:55.468,1640, ,1623, ,0, ,N, ,0, , , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.916,-75.1654, , 
42038,485759,2014096811,6,67,67301,2014,9,1,1758,17,1,1,0,4,1, , ,N,0,0,0,3,0,0,2,2,N,N,40 01:49.705,75 10:36.154,1800, ,1758, ,0, ,N, ,0, , , , , , , , , ,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0305,-75.1767, , 
42039,485764,2014120920,6,67,67301,2014,11,2,1814,18,2,8,0,8,1, , ,N,0,0,0,3,0,1,2,2,N,N,39 59:45.297,75 10:26.857,1824, ,1821, ,0, , , ,0, , , , , , , , , ,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,39.9959,-75.1741, , 
42040,485770,2014125158,6,67,67301,2014,11,4,1526,15,1,2,1,4,1, , ,N,2,3,0,3,0,1,2,2,N,N,39 55:18.429,75 13:17.630,1751, ,1729, ,0, ,N, ,3, , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9218,-75.2216, , 
42041,485772,2014127549,6,67,67301,2014,12,4,1500,15,1,2,1,4,1, , ,N,1,2,0,3,0,4,6,2,N, ,39 55:40.490,75 11:14.888,1525, ,1521, ,0, , , ,3, , , , , , , , , ,2,0,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9279,-75.1875, , 
42042,485776,2015020872,6,67,67301,2014,12,7,1849,18,3,2,1,8,1, , ,N,1,2,0,3,0,1,2,2,N, ,40 00:35.379,75 09:03.622,1923, ,1919, ,0, , , ,3, , , , , , , , , ,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,40.0098,-75.151, , 
42043,485777,2015020876,6,67,67301,2014,12,6,915,9,1,1,0,5,6, , ,N,0,0,0,3,0,1,1,2,N, ,40 05:25.202,75 02:30.400,940, ,930,1,1,2, , ,0,N, , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40.0903,-75.0418, , 
42044,485801,2014107220,6,67,67301,2014,10,2,1041,10,1,1,0,4,1, , ,N,2,2,2,3,0,3,5,2,N,N,39 58:28.976,75 11:54.231,1113, ,1110, ,0, ,N, ,3, , , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9747,-75.1983, , 
42045,485805,2014109080,6,67,67301,2014,11,2,1257,12,1,1,0,7,5, , ,N,0,0,0,3,0,0,1,1,N,N,40 01:43.213,75 01:23.854,1340, ,1320,1,1,2,N, ,0,N, , , , , , , , ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0287,-75.0233, , 
