ObjectId,Crash ID,Primary Road,Intersecting Road,Crash Date,Day,Month,Year,Hour,Weekday,Crash Type Code,Highway Classification Code,Community Code,Jurisdiction Code,Lane Departure Type Code,Surface Type,Road Condition,Weather Condition,Lighting Condition,Speed Limit,Lanes,Units,Occupants,Most Severe Injury,Fatal Injuries,Suspected Serious Injuries,Suspected Minor Injuries,Possible Injuries,Property Damage Only,Secondary Crash,Traffic Control,Red Light Run,Hit and Run,Alcohol,Drugs,Unbelted Person,Work Zone,Speeding Driver,Distracted Driver,Driveway,Pedestrian,Elderly Driver,Young Driver,Commercial Vehicle,Emergency Vehicles,Train,School Bus,Motorcycle,Bicycle,Deer,Longitude,Latitude,geom,geog,x,y
1,1253931,N/B I-75,MACK,2017-12-31,31,12,2017,0,1,1,1,,1,1,,2,1,4,25,2,1,1,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.04799,42.35148,"{
  ""coordinates"": [
    -8.304798712900001e+01,
    4.235148039900000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.047987129,
    42.351480399
  ],
  ""type"": ""Point""
}",-83.047987129,42.351480399
2,1259004,I-94,CONCORD,2017-12-31,31,12,2017,1,1,1,1,,1,1,,2,1,4,55,3,1,1,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.0297,42.38365,"{
  ""coordinates"": [
    -8.302970283000001e+01,
    4.238365338400010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.02970283,
    42.383653384
  ],
  ""type"": ""Point""
}",-83.02970283,42.3836533840001
3,1250723,LINWOOD,CHICAGO,2017-12-31,31,12,2017,23,1,8,9,,4,0,,4,1,4,0,2,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.11086,42.37661,"{
  ""coordinates"": [
    -8.311085514800000e+01,
    4.237661122600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.110855148,
    42.376611226
  ],
  ""type"": ""Point""
}",-83.110855148,42.3766112260001
4,1280824,I-75,MACK,2017-12-31,31,12,2017,12,1,5,1,,1,0,,2,1,1,55,4,2,3,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.04794,42.35087,"{
  ""coordinates"": [
    -8.304793601199999e+01,
    4.235086887100000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.047936012,
    42.350868871
  ],
  ""type"": ""Point""
}",-83.047936012,42.350868871
5,1251916,CONGRESS,BATES,2017-12-31,31,12,2017,23,1,5,9,,4,0,,1,1,4,25,3,2,3,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.04459,42.33073,"{
  ""coordinates"": [
    -8.304458838499990e+01,
    4.233073278300000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.044588385,
    42.330732783
  ],
  ""type"": ""Point""
}",-83.0445883849999,42.330732783
6,1250682,PREST,FLORENCE,2017-12-31,31,12,2017,19,1,1,9,,,1,,4,1,4,25,2,1,0,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.19788,42.41017,"{
  ""coordinates"": [
    -8.319787457500000e+01,
    4.241017028800010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.197874575,
    42.410170288
  ],
  ""type"": ""Point""
}",-83.197874575,42.4101702880001
7,1250693,LAWNDALE,MICHIGAN,2017-12-31,31,12,2017,22,1,5,2,,,0,,4,1,4,25,4,2,0,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.14848,42.32978,"{
  ""coordinates"": [
    -8.314847556500000e+01,
    4.232977806600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.148475565,
    42.329778066
  ],
  ""type"": ""Point""
}",-83.148475565,42.3297780660001
8,1257269,GRAND RIVER,WESTBROOK,2017-12-31,31,12,2017,20,1,9,3,,1,2,,4,5,4,35,4,2,1,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,true,false,,,false,false,false,false,false,-83.25162,42.4141,"{
  ""coordinates"": [
    -8.325162097499999e+01,
    4.241409865600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.251620975,
    42.414098656
  ],
  ""type"": ""Point""
}",-83.251620975,42.4140986560001
9,1249131,WYOMING,FENKELL,2017-12-31,31,12,2017,4,1,5,9,,4,0,,4,98,4,35,2,2,1,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.15961,42.40115,"{
  ""coordinates"": [
    -8.315961010800000e+01,
    4.240114528600000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.159610108,
    42.401145286
  ],
  ""type"": ""Point""
}",-83.159610108,42.401145286
10,1250717,TELEGRAPH,7 MILE,2017-12-31,31,12,2017,15,1,5,2,,1,0,,4,5,1,45,4,2,4,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.27763,42.43031,"{
  ""coordinates"": [
    -8.327762422700000e+01,
    4.243030669200000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.277624227,
    42.430306692
  ],
  ""type"": ""Point""
}",-83.277624227,42.430306692
11,1250674,I-94,MT ELLIOTT,2017-12-31,31,12,2017,1,1,1,1,,1,1,,1,1,4,55,3,1,1,3,0,0,1,0,false,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.03335,42.37968,"{
  ""coordinates"": [
    -8.303334764300000e+01,
    4.237968001700010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.033347643,
    42.379680017
  ],
  ""type"": ""Point""
}",-83.033347643,42.3796800170001
12,1265822,RAMP 213P,RAMP 213H,2017-12-31,31,12,2017,4,1,1,1,,1,1,,3,2,4,55,1,1,2,3,0,0,1,0,false,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.09592,42.35094,"{
  ""coordinates"": [
    -8.309592747400001e+01,
    4.235093780300010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.095927474,
    42.350937803
  ],
  ""type"": ""Point""
}",-83.095927474,42.3509378030001
13,1249152,SCHOOLCRAFT,MEYERS,2017-12-31,31,12,2017,18,1,5,9,,4,0,,1,1,4,35,3,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.16872,42.38826,"{
  ""coordinates"": [
    -8.316871672600000e+01,
    4.238825474800010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.168716726,
    42.388254748
  ],
  ""type"": ""Point""
}",-83.168716726,42.3882547480001
14,1255394,SCOTTEN,WARREN,2017-12-31,31,12,2017,20,1,8,9,,4,0,,4,1,5,25,2,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.1107,42.34426,"{
  ""coordinates"": [
    -8.311070491800000e+01,
    4.234426010000000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.110704918,
    42.3442601
  ],
  ""type"": ""Point""
}",-83.110704918,42.3442601
15,1260283,I75,STATE FAIR,2017-12-31,31,12,2017,17,1,5,1,,1,0,,1,1,5,70,4,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.09488,42.43831,"{
  ""coordinates"": [
    -8.309488200999991e+01,
    4.243830935900010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.09488201,
    42.438309359
  ],
  ""type"": ""Point""
}",-83.0948820099999,42.4383093590001
