ObjectId,Crash ID,Primary Road,Intersecting Road,Crash Date,Day,Month,Year,Hour,Weekday,Crash Type Code,Highway Classification Code,Community Code,Jurisdiction Code,Lane Departure Type Code,Surface Type,Road Condition,Weather Condition,Lighting Condition,Speed Limit,Lanes,Units,Occupants,Most Severe Injury,Fatal Injuries,Suspected Serious Injuries,Suspected Minor Injuries,Possible Injuries,Property Damage Only,Secondary Crash,Traffic Control,Red Light Run,Hit and Run,Alcohol,Drugs,Unbelted Person,Work Zone,Speeding Driver,Distracted Driver,Driveway,Pedestrian,Elderly Driver,Young Driver,Commercial Vehicle,Emergency Vehicles,Train,School Bus,Motorcycle,Bicycle,Deer,Longitude,Latitude,geom,geog,x,y
13421,9713492,HARPER,MOROSS,2016-06-01,1,6,2016,10,4,5,9,,4,0,,1,1,1,30,2,2,4,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-82.92925,42.42463,"{
  ""coordinates"": [
    -8.292925352899989e+01,
    4.242463301300010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.929253529,
    42.424633013
  ],
  ""type"": ""Point""
}",-82.9292535289999,42.4246330130001
13422,9712198,SOUTHFIELD SERVICE DRIVE,PLYMOUTH,2016-06-01,1,6,2016,10,4,5,9,,4,0,,1,1,1,55,6,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.21627,42.37253,"{
  ""coordinates"": [
    -8.321627238000001e+01,
    4.237253308200010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.21627238,
    42.372533082
  ],
  ""type"": ""Point""
}",-83.21627238,42.3725330820001
13423,9711217,GRATIOT,RANDOLPH,2016-06-01,1,6,2016,12,4,4,3,,1,0,,1,1,1,30,5,2,3,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.04502,42.33534,"{
  ""coordinates"": [
    -8.304502034900000e+01,
    4.233534176700000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.045020349,
    42.335341767
  ],
  ""type"": ""Point""
}",-83.045020349,42.335341767
13424,9713482,LONYO,MICHIGAN,2016-06-01,1,6,2016,19,4,8,2,,4,0,,1,1,4,0,4,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.14431,42.33027,"{
  ""coordinates"": [
    -8.314431064800000e+01,
    4.233026977400000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.144310648,
    42.330269774
  ],
  ""type"": ""Point""
}",-83.144310648,42.330269774
13425,9718767,N I 375,N I 75,2016-06-01,1,6,2016,16,4,5,1,,1,0,,1,2,1,55,4,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.04388,42.34412,"{
  ""coordinates"": [
    -8.304388547100000e+01,
    4.234412189200000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.043885471,
    42.344121892
  ],
  ""type"": ""Point""
}",-83.043885471,42.344121892
13426,9721021,I-75,WARREN,2016-06-01,1,6,2016,14,4,5,1,,1,0,,1,1,1,55,4,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.05716,42.36461,"{
  ""coordinates"": [
    -8.305716221700000e+01,
    4.236460807400000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.057162217,
    42.364608074
  ],
  ""type"": ""Point""
}",-83.057162217,42.364608074
13427,9716858,E/B I-94,CONCORD,2016-06-01,1,6,2016,19,4,4,1,,1,0,,2,4,1,55,3,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.03098,42.38225,"{
  ""coordinates"": [
    -8.303097510899990e+01,
    4.238224813800010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.030975109,
    42.382248138
  ],
  ""type"": ""Point""
}",-83.0309751089999,42.3822481380001
13428,9711230,CRAFT,DUCHESS,2016-06-01,1,6,2016,13,4,4,9,,,0,,1,1,1,25,2,2,2,5,0,0,0,0,true,,true,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-82.96163,42.41751,"{
  ""coordinates"": [
    -8.296163495600000e+01,
    4.241750575000000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.961634956,
    42.41750575
  ],
  ""type"": ""Point""
}",-82.961634956,42.41750575
13429,9712174,W I 94 SERVICE DRIVE,WARREN,2016-06-01,1,6,2016,11,4,5,9,,4,0,,1,1,1,35,4,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.11388,42.3447,"{
  ""coordinates"": [
    -8.311387686099989e+01,
    4.234470551000000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.113876861,
    42.34470551
  ],
  ""type"": ""Point""
}",-83.1138768609999,42.34470551
13430,9712202,CLARITA,PLAINVIEW,2016-06-01,1,6,2016,15,4,4,9,,,0,,1,2,1,25,1,2,2,4,0,0,0,2,false,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.23769,42.42718,"{
  ""coordinates"": [
    -8.323768531300000e+01,
    4.242717795100000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.237685313,
    42.427177951
  ],
  ""type"": ""Point""
}",-83.237685313,42.427177951
