ObjectId,Crash ID,Primary Road,Intersecting Road,Crash Date,Day,Month,Year,Hour,Weekday,Crash Type Code,Highway Classification Code,Community Code,Jurisdiction Code,Lane Departure Type Code,Surface Type,Road Condition,Weather Condition,Lighting Condition,Speed Limit,Lanes,Units,Occupants,Most Severe Injury,Fatal Injuries,Suspected Serious Injuries,Suspected Minor Injuries,Possible Injuries,Property Damage Only,Secondary Crash,Traffic Control,Red Light Run,Hit and Run,Alcohol,Drugs,Unbelted Person,Work Zone,Speeding Driver,Distracted Driver,Driveway,Pedestrian,Elderly Driver,Young Driver,Commercial Vehicle,Emergency Vehicles,Train,School Bus,Motorcycle,Bicycle,Deer,Longitude,Latitude,geom,geog,x,y
1,1365793,PHILADELPHIA,BRUSH,2018-05-03,3,5,2018,15,5,8,9,,,3,,2,2,1,10,1,2,0,5,0,0,0,0,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-83.07384,42.37971,"{
  ""coordinates"": [
    -8.307384375724639e+01,
    4.237971665971090e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.073843757,
    42.37971666
  ],
  ""type"": ""Point""
}",-83.073843757,42.37971666
2,1369524,JOHN C LODGE SERVICE,MILWAUKEE,2018-05-03,3,5,2018,10,5,4,3,,1,0,Concrete,2,4,1,25,2,2,2,5,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-83.08088,42.36596,"{
  ""coordinates"": [
    -8.308088020970760e+01,
    4.236596110038950e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.08088021,
    42.3659611
  ],
  ""type"": ""Point""
}",-83.08088021,42.3659611
3,1365826,CONNER,I 94,2018-05-03,3,5,2018,15,5,8,1,,4,0,Asphalt,2,4,1,35,2,2,2,5,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-82.98686,42.39595,"{
  ""coordinates"": [
    -8.298686285546800e+01,
    4.239594661268540e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.986862855,
    42.395946613
  ],
  ""type"": ""Point""
}",-82.986862855,42.395946613
4,1364501,7 MILE,MOUND,2018-05-03,3,5,2018,11,5,8,9,,4,0,Asphalt,2,4,1,,2,2,0,5,0,0,0,0,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-83.04346,42.43357,"{
  ""coordinates"": [
    -8.304345415624110e+01,
    4.243357373714150e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.043454156,
    42.433573737
  ],
  ""type"": ""Point""
}",-83.0434541559999,42.4335737370001
5,1366996,I-75,DAVISON,2018-05-03,3,5,2018,6,5,1,1,,1,1,Concrete,2,4,1,70,4,1,1,5,0,0,0,0,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,-83.07909,42.4085,"{
  ""coordinates"": [
    -8.307908454046800e+01,
    4.240849806190030e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.07908454,
    42.408498062
  ],
  ""type"": ""Point""
}",-83.0790845399999,42.408498062
6,1363608,8MILE,SHERWOOD,2018-05-03,3,5,2018,6,5,5,3,,1,0,Asphalt,2,4,2,,3,2,1,5,0,0,0,0,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-83.03587,42.44793,"{
  ""coordinates"": [
    -8.303587512887449e+01,
    4.244793162398640e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.035875129,
    42.447931624
  ],
  ""type"": ""Point""
}",-83.035875129,42.447931624
7,1368585,I-96,TELEGRAPH,2018-05-03,3,5,2018,17,5,5,1,,1,0,Asphalt,2,2,1,70,5,2,1,5,0,0,0,0,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-83.27214,42.38557,"{
  ""coordinates"": [
    -8.327213813389621e+01,
    4.238556498482190e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.272138134,
    42.385564985
  ],
  ""type"": ""Point""
}",-83.272138134,42.385564985
8,1365821,FEDERAL,LIVERNOIS,2018-05-03,3,5,2018,14,5,8,9,,,0,,1,1,1,25,4,2,0,5,0,0,0,0,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-83.11296,42.32139,"{
  ""coordinates"": [
    -8.311295824789390e+01,
    4.232138812305980e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.112958248,
    42.321388123
  ],
  ""type"": ""Point""
}",-83.112958248,42.3213881230001
9,1364497,MICHIGAN,BURTON,2018-05-03,3,5,2018,13,5,8,2,,1,3,Asphalt,2,4,1,35,2,2,0,5,0,0,0,0,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-83.12414,42.33113,"{
  ""coordinates"": [
    -8.312413512910631e+01,
    4.233112897771400e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.124135129,
    42.331128978
  ],
  ""type"": ""Point""
}",-83.124135129,42.331128978
10,1366971,I-75,CLAY,2018-05-03,3,5,2018,16,5,5,1,,1,0,Asphalt,2,4,1,70,4,4,4,5,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,-83.06277,42.37862,"{
  ""coordinates"": [
    -8.306277728910680e+01,
    4.237862460175030e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.062777289,
    42.378624602
  ],
  ""type"": ""Point""
}",-83.0627772889999,42.3786246020001
