ObjectId,Crash ID,Primary Road,Intersecting Road,Crash Date,Day,Month,Year,Hour,Weekday,Crash Type Code,Highway Classification Code,Community Code,Jurisdiction Code,Lane Departure Type Code,Surface Type,Road Condition,Weather Condition,Lighting Condition,Speed Limit,Lanes,Units,Occupants,Most Severe Injury,Fatal Injuries,Suspected Serious Injuries,Suspected Minor Injuries,Possible Injuries,Property Damage Only,Secondary Crash,Traffic Control,Red Light Run,Hit and Run,Alcohol,Drugs,Unbelted Person,Work Zone,Speeding Driver,Distracted Driver,Driveway,Pedestrian,Elderly Driver,Young Driver,Commercial Vehicle,Emergency Vehicles,Train,School Bus,Motorcycle,Bicycle,Deer,Longitude,Latitude,geom,geog,x,y
1,9608712,TELEGRAPH,PEMBROKE,2015-12-31,31,12,2015,14,5,1,2,,1,0,,1,1,1,40,4,1,1,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.27855,42.43613,"{
  ""coordinates"": [
    -8.327854737900000e+01,
    4.243612536600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.278547379,
    42.436125366
  ],
  ""type"": ""Point""
}",-83.278547379,42.4361253660001
2,9478395,RAMP 112A,CHICAGO,2015-12-31,31,12,2015,17,5,5,3,,1,0,,1,1,1,0,2,2,4,4,0,0,0,2,false,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.09618,42.38242,"{
  ""coordinates"": [
    -8.309618103699999e+01,
    4.238242143700010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.096181037,
    42.382421437
  ],
  ""type"": ""Point""
}",-83.096181037,42.3824214370001
3,9472892,7 MILE,MONTROSE,2015-12-31,31,12,2015,16,5,5,9,,2,0,,1,1,1,35,4,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.20202,42.43038,"{
  ""coordinates"": [
    -8.320202061099999e+01,
    4.243037926700000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.202020611,
    42.430379267
  ],
  ""type"": ""Point""
}",-83.202020611,42.430379267
4,9473924,I375,LAFEYETTE,2015-12-31,31,12,2015,22,5,8,1,,1,0,,1,1,5,55,4,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.03978,42.33829,"{
  ""coordinates"": [
    -8.303978249399999e+01,
    4.233829343600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.039782494,
    42.338293436
  ],
  ""type"": ""Point""
}",-83.039782494,42.3382934360001
5,9472912,GREENLAWN,7 MILE,2015-12-31,31,12,2015,18,5,4,9,,,0,,1,2,4,25,2,2,3,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.15186,42.43161,"{
  ""coordinates"": [
    -8.315185536500000e+01,
    4.243161446600000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.151855365,
    42.431614466
  ],
  ""type"": ""Point""
}",-83.151855365,42.431614466
6,9474032,GRATIOT,GUNSTON,2015-12-31,31,12,2015,19,5,3,3,,1,0,,1,1,4,35,3,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-82.99522,42.40837,"{
  ""coordinates"": [
    -8.299521836600000e+01,
    4.240837663700010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.995218366,
    42.408376637
  ],
  ""type"": ""Point""
}",-82.995218366,42.4083766370001
7,9472887,EVERGREEN,PAUL,2015-12-31,31,12,2015,3,5,5,9,,4,0,,1,1,2,35,2,2,1,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.2351,42.33586,"{
  ""coordinates"": [
    -8.323509803699990e+01,
    4.233586097300010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.235098037,
    42.335860973
  ],
  ""type"": ""Point""
}",-83.2350980369999,42.3358609730001
8,9474037,JEFFERSON,BRUSH,2015-12-31,31,12,2015,2,5,97,4,,1,0,,1,1,4,30,4,2,4,2,0,1,0,0,false,,false,false,false,false,false,,,,,,true,false,true,,,false,false,false,false,false,-83.04085,42.33008,"{
  ""coordinates"": [
    -8.304084466599990e+01,
    4.233007649800000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.040844666,
    42.330076498
  ],
  ""type"": ""Point""
}",-83.0408446659999,42.330076498
9,9475218,HONORAH,PITT,2015-12-31,31,12,2015,13,5,5,9,,,3,,97,98,98,25,2,2,0,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.12455,42.31519,"{
  ""coordinates"": [
    -8.312454968199999e+01,
    4.231518460300000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.124549682,
    42.315184603
  ],
  ""type"": ""Point""
}",-83.124549682,42.315184603
10,9475200,WYOMING,LYNDON,2015-12-31,31,12,2015,20,5,5,9,,4,0,,97,98,98,25,2,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.15934,42.39515,"{
  ""coordinates"": [
    -8.315933995099989e+01,
    4.239515088500010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.159339951,
    42.395150885
  ],
  ""type"": ""Point""
}",-83.1593399509999,42.3951508850001
