intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents,has_had_fatal
21734,34.071056,-118.34187100000001,34.07105334057981,-118.3420335026949,89.62526116416063,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
21734,34.071056,-118.34187100000001,34.0710574040606,-118.34170847463079,270.15701219261547,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
21735,34.07358659999999,-118.3429476,34.07372185623545,-118.34294796116677,180.6251802393026,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21735,34.07358659999999,-118.3429476,34.073582773588754,-118.3431100738448,89.13142228051652,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21735,34.07358659999999,-118.3429476,34.07358565387866,-118.34278506506658,271.1532342905325,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21735,34.07358659999999,-118.3429476,34.07345134966812,-118.34294603867168,0.20210520930390885,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21736,34.07359400000001,-118.3407749,34.07359289577262,-118.3406123663932,271.21899334153704,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21736,34.07359400000001,-118.3407749,34.07372925164927,-118.34077629795239,180.25848547176352,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21736,34.07359400000001,-118.3407749,34.07359177370471,-118.34093741699559,89.80820109086358,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21736,34.07359400000001,-118.3407749,34.07345874679123,-118.34077606026109,1.1602747047754747,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21737,34.068897799999995,-118.34186290000001,34.06903305633682,-118.3418625175605,180.88661347344132,25.0,residential,0,False,False,False,False,False,4,,,2,4,False
21737,34.068897799999995,-118.34186290000001,34.068762543354495,-118.34186306375031,0.8095177743828117,25.0,residential,0,False,False,False,False,False,4,,,2,4,False
21737,34.068897799999995,-118.34186290000001,34.06889751507817,-118.34202542963455,90.63114339308697,65.0,secondary,1,False,False,False,False,False,4,,,4,4,False
21737,34.068897799999995,-118.34186290000001,34.06889822485605,-118.34170037079855,270.57177490846544,65.0,secondary,1,False,False,False,False,False,4,,,4,4,False
21738,34.07103919999999,-118.34291989999998,34.07103505372719,-118.34308235764759,88.99580314447905,25.0,residential,0,False,False,False,False,True,4,,,2,6,False
21738,34.07103919999999,-118.34291989999998,34.07104189867152,-118.34275739830713,269.6091269338373,25.0,residential,0,False,False,False,False,True,4,,,2,6,False
21738,34.07103919999999,-118.34291989999998,34.07117445076559,-118.34292141287418,180.21910969910863,25.0,residential,0,False,False,False,False,True,4,,,2,6,False
21738,34.07103919999999,-118.34291989999998,34.0709039448955,-118.34292067141851,1.024364113909428,25.0,residential,0,False,False,False,False,True,4,,,2,6,False
21739,34.071065799999985,-118.340797,34.07106434884462,-118.34095952482959,90.13655087715364,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21739,34.071065799999985,-118.340797,34.07120105326078,-118.34079584002457,181.1601508606401,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21739,34.071065799999985,-118.340797,34.07106613064664,-118.34063446629207,270.6111275729623,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21739,34.071065799999985,-118.340797,34.07093054758472,-118.34079570503185,0.2947348333155446,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21740,34.0668974,-118.3418831,34.06703265109767,-118.34188161372496,181.27573374396195,25.0,residential,0,False,False,False,False,True,4,,,2,0,False
21740,34.0668974,-118.3418831,34.0667621454561,-118.34188217041844,0.42405407995767064,25.0,residential,0,False,False,False,False,True,4,,,2,0,False
21740,34.0668974,-118.3418831,34.06689681107164,-118.34204562463225,90.50233577659003,25.0,residential,0,False,False,False,False,True,4,,,2,0,False
21740,34.0668974,-118.3418831,34.06689873937648,-118.3417205817866,270.1843407855709,25.0,residential,0,False,False,False,False,True,4,,,2,0,False
21741,34.0688962,-118.3429346,34.0688976331317,-118.34309712082096,91.35953624892528,65.0,secondary,1,False,False,False,False,False,4,,,"('5', '4')",8,False
21741,34.0688962,-118.3429346,34.06889640778278,-118.34277207024088,270.66432959481153,65.0,secondary,1,False,False,False,False,False,4,,,4,8,False
21741,34.0688962,-118.3429346,34.06903144967931,-118.34293294751356,181.334945864376,25.0,residential,0,False,False,False,False,False,4,,,2,8,False
21741,34.0688962,-118.3429346,34.06876094395819,-118.34293509665736,0.9274766690423348,25.0,residential,0,False,False,False,False,False,4,,,2,8,False
21742,34.0689013,-118.34077710000001,34.06890070462232,-118.34093962847665,90.49902285088439,65.0,secondary,1,False,False,False,False,False,4,,,4,6,False
21742,34.0689013,-118.34077710000001,34.06903655397055,-118.34077814242109,180.38370530785738,25.0,residential,0,False,False,False,False,False,4,,,2,6,False
21742,34.0689013,-118.34077710000001,34.06876604451836,-118.34077780537521,0.9998462978348357,25.0,residential,0,False,False,False,False,False,4,,,2,6,False
21742,34.0689013,-118.34077710000001,34.06890170779796,-118.34061457067907,270.57839251037353,65.0,secondary,1,False,False,False,False,False,4,,,4,6,False
21743,34.0649214,-118.3418715,34.06492044675073,-118.34203401836271,90.34795942028,65.0,secondary,1,False,False,False,False,False,4,,,4,17,False
21743,34.0649214,-118.3418715,34.06505665679619,-118.34187150000218,180.7517212297682,25.0,residential,0,False,False,False,False,False,4,,,2,17,False
21743,34.0649214,-118.3418715,34.06492166812084,-118.3417089779117,270.6380971199793,65.0,secondary,1,False,False,False,False,False,4,,,4,17,False
21743,34.0649214,-118.3418715,34.06478614417161,-118.34187088427029,0.5346486609231533,25.0,residential,0,False,False,False,False,False,4,,,2,17,False
21744,34.0668942,-118.34295460000001,34.06689391874431,-118.34311712576661,90.63326929336279,25.0,residential,0,False,False,False,False,False,4,,,2,1,False
21744,34.0668942,-118.34295460000001,34.066758943419046,-118.34295437075387,0.6715476710527355,25.0,residential,0,False,False,False,False,False,4,,,2,1,False
21744,34.0668942,-118.34295460000001,34.06689466297365,-118.34279207482598,270.5562008109521,25.0,residential,0,False,False,False,False,False,4,,,2,1,False
21744,34.0668942,-118.34295460000001,34.0670294522807,-118.3429532843173,181.21619277821858,25.0,residential,0,False,False,False,False,False,4,,,2,1,False
21745,34.06690650000001,-118.3407881,34.06690514561479,-118.34095061809133,90.17746041805032,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21745,34.06690650000001,-118.3407881,34.06704175382123,-118.34078702228159,181.13108632677682,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21745,34.06690650000001,-118.3407881,34.06690673616768,-118.34062557399912,270.65106413526087,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21745,34.06690650000001,-118.3407881,34.06677124498136,-118.34078726638158,0.45727146009880926,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21746,34.0621775,-118.341866,34.0623127564863,-118.34186562042211,180.8854865992957,25.0,residential,0,False,False,False,False,False,4,,,2,6,False
21746,34.0621775,-118.341866,34.06217388973426,-118.34170354073962,272.281135028217,65.0,primary,1,False,False,False,False,False,4,,,"('7', '6')",6,False
21746,34.0621775,-118.341866,34.06218313649166,-118.3420283759907,93.14006008310736,65.0,primary,1,False,False,False,False,False,4,,,7,6,False
21746,34.0621775,-118.341866,34.06204240868052,-118.34185796194063,357.91666659496724,25.0,residential,0,False,False,False,False,False,4,,,2,6,False
21747,34.0621526,-118.34072720000002,34.062155952945126,-118.34088966722541,92.17154817354464,65.0,primary,1,False,False,False,True,False,3,,,"('7', '6')",6,False
21747,34.0621526,-118.34072720000002,34.062149231189274,-118.34056473324743,272.17817986173543,65.0,primary,1,False,False,False,True,False,3,,,"('7', '6')",6,False
21747,34.0621526,-118.34072720000002,34.06202298361043,-118.34068075725521,344.1460393938273,25.0,residential,0,False,False,False,True,False,3,,,2,6,False
21748,34.062204599999994,-118.3429347,34.06233982612496,-118.3429381617895,179.53171323776246,25.0,residential,0,False,False,False,True,False,5,,,2,19,False
21748,34.062204599999994,-118.3429347,34.062153150882146,-118.34308500068394,68.39502244246205,65.0,primary,1,False,False,False,True,False,5,,,3,19,False
