intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents,has_had_fatal
0,41.98343160000001,-87.8178229,41.98351072040792,-87.81796966057873,126.39778779824803,25.0,motorway_link,0,False,False,False,False,False,3,,,,0,True
0,41.98343160000001,-87.8178229,41.98346435647156,-87.81799856040824,104.5797323519754,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
0,41.98343160000001,-87.8178229,41.98339153278559,-87.81764998336868,287.79994370073837,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
1,41.9842467,-87.8214516,41.984111840251224,-87.8214409715291,357.18433789946425,25.0,motorway_link,0,False,False,False,False,False,3,,,,0,True
1,41.9842467,-87.8214516,41.984222871079766,-87.82127337316119,280.7089753262118,65.0,primary,1,False,False,False,False,False,3,,,"('3', '2')",0,True
1,41.9842467,-87.8214516,41.98426680703494,-87.82163064911731,99.1092116163714,65.0,primary,1,False,False,False,False,False,3,,,"('5', '4')",0,True
2,41.98453980000001,-87.8263157,41.98452461570903,-87.82613578080588,277.0063425389245,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
2,41.98453980000001,-87.8263157,41.984586146929786,-87.82648577735503,110.6171749963492,25.0,motorway_link,0,False,False,False,False,False,3,,,2,0,True
2,41.98453980000001,-87.8263157,41.98455413307762,-87.82649574462341,96.64327018548636,65.0,motorway,1,False,False,False,False,False,3,,,3,0,True
3,41.90095050000001,-87.6609401,41.900820893330476,-87.6608890698878,344.0502415810922,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
3,41.90095050000001,-87.6609401,41.901080744328596,-87.6609881333384,165.0375838958705,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
3,41.90095050000001,-87.6609401,41.901041351432326,-87.66107393669554,132.70089022521915,25.0,motorway_link,0,False,False,False,False,False,3,,,,0,True
4,41.89788590000001,-87.659541,41.898013173522,-87.6596016433179,160.8454891967565,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
4,41.89788590000001,-87.659541,41.89775789266216,-87.65948319002136,341.7955997383651,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
4,41.89788590000001,-87.659541,41.8979824254418,-87.65966751424958,136.04171453788513,25.0,motorway_link,0,False,False,False,False,False,3,,,1,0,True
5,41.8950877,-87.6571862,41.89496176021983,-87.65712076066082,339.2213880526479,25.0,motorway_link,0,False,False,False,False,False,3,,,2,0,True
5,41.8950877,-87.6571862,41.894997896830525,-87.65705111398589,312.1002999152243,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
5,41.8950877,-87.6571862,41.895181150853176,-87.65731677883286,134.20601066685884,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
6,41.892540399999994,-87.651212,41.892510511479806,-87.65138832999392,77.65324728614621,25.0,motorway_link,0,False,False,False,False,False,3,,,2,0,True
6,41.892540399999994,-87.651212,41.892554212349324,-87.65103213698333,264.56663057200444,25.0,motorway_link,0,False,False,False,False,False,3,,,3,0,True
6,41.892540399999994,-87.651212,41.89254129784371,-87.65139280648657,90.81569226492303,25.0,motorway_link,0,False,False,False,False,False,3,,,,0,True
7,41.89430139999999,-87.65597620000001,41.89438856321631,-87.65611434747512,130.6177942293292,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
7,41.89430139999999,-87.65597620000001,41.89420978202803,-87.6558433165434,313.13813536742737,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
7,41.89430139999999,-87.65597620000001,41.89439949465856,-87.65610052633535,136.99870440066638,25.0,motorway_link,0,False,False,False,False,False,3,,,1,0,True
8,41.8932764,-87.6544768,41.89336626691468,-87.65461180652885,132.13473340469898,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
8,41.8932764,-87.6544768,41.89318680387227,-87.65434147165047,311.98101694476736,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
8,41.8932764,-87.6544768,41.89314301832583,-87.65444807305529,351.29529579916993,,emergency_bay,0,False,False,False,False,False,3,,,,0,True
9,41.8841987,-87.6460837,41.884063782876,-87.64607434872374,357.46637840769984,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
9,41.8841987,-87.6460837,41.88406519216888,-87.64611135627834,9.230864155149959,25.0,motorway_link,0,False,False,False,False,False,3,,,"('1', '2')",0,True
9,41.8841987,-87.6460837,41.88433377255487,-87.64608720660951,179.31995742784693,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
10,41.883689399999994,-87.6460484,41.883824317135655,-87.6460577511572,177.46637840769984,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
10,41.883689399999994,-87.6460484,41.8835543758321,-87.64604242447078,358.537171574326,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
10,41.883689399999994,-87.6460484,41.88382333854249,-87.64602476555798,187.94319632843468,25.0,motorway_link,0,False,False,False,False,False,3,,,1,0,True
11,41.88179189999999,-87.6464891,41.88192590141161,-87.64646611286369,187.73681725161958,25.0,motorway_link,0,False,False,False,False,False,3,,,"('1', '2')",0,True
11,41.88179189999999,-87.6464891,41.881790279529,-87.64666986725771,89.74439739936275,65.0,secondary,1,False,False,False,False,False,3,,,5,0,True
11,41.88179189999999,-87.6464891,41.88179354417916,-87.64630833311745,269.7342212456118,65.0,secondary,1,False,False,False,False,False,3,,,4,0,True
12,41.8573672,-87.6443629,41.85724458905593,-87.64443878233021,25.258852854396594,25.0,motorway_link,0,False,False,False,False,False,3,,,2,0,True
12,41.8573672,-87.6443629,41.85723211312465,-87.64436051635997,359.6742067592375,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
12,41.8573672,-87.6443629,41.857502199679985,-87.6443698150222,178.23699585810084,65.0,motorway,1,False,False,False,False,False,3,,,5,0,True
13,41.8512143,-87.6454758,41.851336382911754,-87.6455531836668,155.07368211102334,25.0,motorway_link,0,False,False,False,False,False,3,,,2,0,True
13,41.8512143,-87.6454758,41.85108364151606,-87.64542985484795,345.7002902880483,25.0,motorway_link,0,False,False,False,False,False,3,,,2,0,True
13,41.8512143,-87.6454758,41.851349173885815,-87.64548622116209,177.12442804470027,25.0,motorway_link,0,False,False,False,False,False,3,,,,0,True
14,41.85138280000001,-87.6452814,41.85151683004631,-87.64530408315699,173.21901580708504,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
14,41.85138280000001,-87.6452814,41.85125035022308,-87.64524579311588,349.0656890379119,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
14,41.85138280000001,-87.6452814,41.851495772381675,-87.6453804917523,147.17374359398093,25.0,motorway_link,0,False,False,False,False,False,3,,,,0,True
15,41.8455386,-87.6506726,41.84550540724398,-87.65084773986325,76.21139017598449,65.0,motorway,1,False,False,False,False,False,3,,,4,0,True
