int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,num_lanes,number_of_accidents,AADT
40.78634509999999,-73.7947484,40.78639960299831,-73.7945857444334,245.4220949065305,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,37.0,1776.6666666666667
40.7893759,-73.78596330000002,40.78935846815435,-73.78613958234634,81.7939970573932,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,15.0,988.0
40.78716409999999,-73.7919229,40.78727856178485,-73.79201735013326,147.1156015373183,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,988.0
40.76242940000001,-73.7570906,40.7625507508002,-73.75716872809058,153.10531845460787,65.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,195.0,20208.666666666668
40.7624051,-73.7565657,40.7625029079526,-73.7564431088626,222.8098546124729,65.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,20208.666666666668
40.7647567,-73.758627,40.764627058144185,-73.75857695341831,342.8316457692725,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,44.0,20208.666666666668
40.7534671,-73.74416430000001,40.753588918909486,-73.74424114672253,153.55237007259188,65.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,12293.0
40.7542921,-73.743724,40.754396477983214,-73.74361118294959,218.59750453443337,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,42861.0
40.757608600000005,-73.7477778,40.75750043455636,-73.74767132584739,322.3668422968704,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,42861.0
40.7980478,-73.96004370000001,40.79792968179014,-73.96013003178551,28.36986230148568,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,10.0,3495.6666666666665
40.7973764,-73.9605349,40.79749285937429,-73.96044475096613,209.78742509872927,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,13.0,3495.6666666666665
40.7986542,-73.9614745,40.79858727500186,-73.96132004384614,299.0119722152733,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,3495.6666666666665
40.79872639999999,-73.9595472,40.79860817521658,-73.95963327962717,28.27629807329185,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,15.0,3495.6666666666665
40.7979763,-73.96197,40.79791143447597,-73.96181403139381,298.0119224366483,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,3495.6666666666665
40.7993297,-73.9609777,40.7992117913333,-73.96106452803159,28.552924886052157,25.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,19.0,3495.6666666666665
40.7992437,-73.9628734,40.79917664497134,-73.96271904012015,299.076366076677,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,20.0,3495.6666666666665
40.79856809999999,-73.9633705,40.79850250977992,-73.96321505564907,298.36373173214304,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,38.0,3495.6666666666665
40.80042949999999,-73.9656909,40.80036399602648,-73.9655353882717,298.3233955229482,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,11.0,3495.6666666666665
40.80110810000001,-73.9651949,40.80099085020255,-73.9652832620684,29.122821098991608,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,23.0,3495.6666666666665
40.80135070005684,-73.96788019991712,40.80128640864116,-73.96772381213347,297.7385663208918,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,11.0,3674.8
40.8016452,-73.9685741,40.80157920657292,-73.9684189441079,298.5628318384687,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,12972.5
40.80051355005114,-73.96798329992265,40.80057967008683,-73.9681383599525,118.62410314178352,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,29.0,3674.8
40.80226789999998,-73.9700504,40.802202316115554,-73.96989494217141,298.3649555639366,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,12972.5
40.80096679999999,-73.9690527,40.80108612659734,-73.96896929102064,207.30229999024093,25.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,10.0,3674.8
40.802938,-73.96956,40.80281991872938,-73.96964642598228,28.40834981861764,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,12972.5
40.7826383,-73.9750067,40.78252065820694,-73.97509413242275,28.7937732466246,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,24.0,11814.666666666666
40.7819606,-73.9754991,40.7820777785051,-73.97541059805576,209.19104094798223,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,54.0,268.0
40.783828,-73.9778254,40.783762322654816,-73.9776700530745,298.41548119085195,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,45.0,11814.666666666666
40.7844692,-73.9773536,40.78435168266916,-73.97744132411002,28.90241705547595,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,66.0,11814.666666666666
40.78452690004285,-73.97948259993599,40.78459243532587,-73.97963805251155,118.3477394019236,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,34.0,176.0
40.78385050004384,-73.97998249993478,40.78391579278605,-73.98013812750683,118.23052644430948,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,74.0,4727.0
40.7850352,-73.9806732,40.784970648778526,-73.98051703530753,297.872322149748,25.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,21.0,8383.0
40.7856725,-73.98020920000002,40.78555273308318,-73.98029149137939,26.90969190776923,25.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,18.0,8383.0
40.7843536,-73.9811697,40.78428737658664,-73.98101475350414,298.68295311459786,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,74.0,4727.0
40.7855915,-73.9820041,40.78552637100128,-73.98184834974886,298.1524419354121,65.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,12.0,8383.0
40.785018350040005,-73.98274869993851,40.78495142641079,-73.98259427345738,299.02518909581846,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,94.0,4727.0
40.7861933,-73.9814421,40.78612734829528,-73.98128694877082,298.5510178070099,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,8383.0
40.85920380001803,-73.93138325011407,40.859330941817966,-73.93132302759497,199.0805507083243,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,22.0,3362.0
40.86024199999999,-73.92842,40.8601836659952,-73.9285805217088,63.720837610653575,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,22.0,6447.0
40.8581161,-73.932977,40.85824170629654,-73.93291142632918,200.92380438289132,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,62040.666666666664
40.860641,-73.930771,40.860513858546064,-73.93083122481451,19.080552448811886,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,17.0,63613.0
40.858744,-73.930122,40.8588071095176,-73.93027935323224,117.14537689644608,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,3362.0
40.859012,-73.927625,40.85892479691928,-73.92776093209709,49.10225137633927,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,6447.0
40.85954499999999,-73.927977,40.85966670635047,-73.92805428684679,153.55844566014218,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,6447.0
40.859943999999984,-73.926786,40.859867284531006,-73.9269324937221,54.701887539649306,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,6447.0
40.861425397840094,-73.92510299855262,40.86136366110334,-73.92526129973591,62.10784523974422,65.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,4.0,10.0,6447.0
40.860657,-73.9273,40.86059778281958,-73.92745996066772,63.3041560238072,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,19.0,6447.0
